client_name,deliveries,total_cost,total_volume,avg_cost_per_kg,freq_q,vol_q,cost_q,segment_score,segment
Client_21,278,271683.47716322,949399.0,0.39118540285669307,4,4,4,12,High-Value
Client_18,283,266375.1378237,975517.0,0.38089370853767374,4,4,4,12,High-Value
Client_25,288,265026.1749173,981905.5,0.3558497004568818,4,4,4,12,High-Value
Client_24,277,259776.21041446,906385.5,0.368155565556744,4,4,4,12,High-Value
Client_20,268,256974.5653243,904164.5,0.38673063455116863,4,4,4,12,High-Value
Client_17,279,254076.0646685,939583.5,0.34487039449363704,4,4,4,12,High-Value
Client_16,263,253869.3254356,816209.0,0.42711106652030206,4,3,4,11,High-Value
Client_19,246,238687.8448215,892256.5,0.3662833172720683,3,4,4,11,High-Value
Client_23,260,236930.66597573,893355.0,0.3507668825963039,4,4,4,12,High-Value
Client_11,256,235593.3504643,819195.0,0.3725742075442253,3,3,3,9,Medium-Value
Client_31,255,234840.5968046,879382.5,0.37804972166975626,3,3,3,9,Medium-Value
Client_22,259,232806.1608647,879684.0,0.39446664139265153,4,4,3,11,High-Value
Client_28,234,226845.1040607,794036.0,0.40272793371733107,3,3,3,9,Medium-Value
Client_14,241,218513.976605,820996.5,0.35257964646861883,3,3,3,9,Medium-Value
Client_15,240,215067.2318545,854708.0,0.31667206343007953,3,3,3,9,Medium-Value
Client_12,244,214667.3413866,768914.0,0.372749761426232,3,2,3,8,Medium-Value
Client_30,217,214246.1309674,715082.0,0.44321657354424154,2,2,3,7,Medium-Value
Client_27,227,212613.6735399,783593.0,0.35940211500606706,2,3,2,7,Medium-Value
Client_26,216,208850.7476764,738944.0,0.3651317998520845,2,2,2,6,Low-Value
Client_13,240,208393.3321543,826581.0,0.3415465407254167,3,3,2,8,Medium-Value
Client_32,204,201741.26238708,629800.0,0.40286390726682525,2,1,2,5,Low-Value
Client_35,209,200763.7433953,697414.5,0.3886601118919346,2,2,2,6,Low-Value
Client_29,210,194029.695023,694790.0,0.3773473345579031,2,2,2,6,Low-Value
Client_5,212,190212.88688287,703831.0,0.3579481740129054,2,2,2,6,Low-Value
Client_33,216,185013.13372674,702366.0,0.3497150623450537,2,2,2,6,Low-Value
Client_8,188,183920.8366296,608449.5,0.4078491827842577,1,1,2,4,Low-Value
Client_34,199,181691.3557583,651046.0,0.38301946092092043,2,2,1,5,Low-Value
Client_6,190,170410.50172981,616472.0,0.36981060425392553,1,1,1,3,Low-Value
Client_9,193,165318.05,623810.0,0.35233941535694213,1,1,1,3,Low-Value
Client_7,180,163527.416969,542373.0,0.3842564099633735,1,1,1,3,Low-Value
Client_2,188,156553.93083211,585363.0,0.3478144025638003,1,1,1,3,Low-Value
Client_4,189,155932.3944492,660699.0,0.30922410074957807,1,2,1,4,Low-Value
Client_10,171,149337.896967,582958.0,0.3259252301883081,1,1,1,3,Low-Value
Client_3,177,148825.5043611,574579.0,0.34338494331122965,1,1,1,3,Low-Value
Client_1,159,135824.1248058,513724.0,0.39054443039091186,1,1,1,3,Low-Value
