delivery_id,date,time,origin_warehouse,destination_city,destination_country,client_name,product_type,product_grade,volume_kg,distance_km,delivery_time_hours,transport_cost_eur,delivery_status,delay_hours,date_raw,time_raw,time_parsed,distance_km_was_missing,transport_cost_eur_was_missing,volume_kg_was_missing,delivery_time_hours_was_missing,distance_km_imp,distance_km_imputed_flag,cost_per_km,transport_cost_eur_imp,transport_cost_imputed_flag,volume_kg_imp,volume_kg_imputed_flag,dist_band,delivery_time_imp,delivery_time_imputed_flag,cost_per_km_imp,cost_per_kg_imp
DEL526321,2024-03-17,04:24,Warehouse_DE_Hamburg,Berlin,DE,Client_1,SMP,,6497.0,472.0,6.5,444.07,On-Time,,17/03/2024,04:24,04:24:00,False,False,False,False,472.0,False,0.9408262711864407,444.07,False,6497.0,False,"(300, 600]",6.5,False,0.9408262711864407,0.06835000769585962
DEL287677,2024-06-29,19:57,Warehouse_PL_Warsaw,Tilburg,NL,Client_29,Butter,A,1862.0,1098.0,14.6,1311.48,On-Time,0.0,29/06/2024,19:57,19:57:00,False,False,False,False,1098.0,False,1.1944262295081967,1311.48,False,1862.0,False,"(600, 1200]",14.6,False,1.1944262295081967,0.7043394199785177
DEL407321,2024-04-05,19:26,Warehouse_DE_Hamburg,Lodz,PL,Client_32,Cheese,,1932.0,899.0,13.7,3158.455048,On-Time,0.0,05/04/2024,19:26,19:26:00,False,False,False,False,899.0,False,3.5132981624026693,3158.455048,False,1932.0,False,"(600, 1200]",13.7,False,3.5132981624026693,1.6348111014492752
DEL541037,2024-01-23,21:46,Warehouse_FR_Paris,Liege,BE,Client_12,Butter,A,1121.0,314.0,5.0,1208.676147,On-Time,0.0,23/01/2024,21:46,21:46:00,False,False,False,False,314.0,False,3.8492870923566875,1208.676147,False,1121.0,False,"(300, 600]",5.0,False,3.8492870923566875,1.0782124415700267
DEL363333,2024-03-28,08:08,Warehouse_FR_Paris,Brussels,BE,Client_7,Cheese,,4900.0,321.0,18.41035492,390.96,On-Time,0.0,28/03/2024,08:08,08:08:00,False,False,False,False,321.0,False,1.2179439252336448,390.96,False,4900.0,False,"(300, 600]",18.41035492,False,1.2179439252336448,0.07978775510204081
DEL155015,2024-04-16,,Warehouse_DE_Hamburg,Turin,IT,Client_6,Cheese,,,1287.0,20.7,1381.7,On-Time,0.0,16/04/2024,,,False,False,True,False,1287.0,False,1.0735819735819736,1381.7,False,3034.5,True,"(1200, 10000]",20.7,False,1.0735819735819736,0.4553303674410941
DEL330030,2024-04-02,17:51,Warehouse_DE_Hamburg,Munich,DE,Client_21,SMP,,2956.0,434.0,5.2,362.7,On-Time,0.0,02/04/2024,17:51,17:51:00,False,False,False,False,434.0,False,0.8357142857142857,362.7,False,2956.0,False,"(300, 600]",5.2,False,0.8357142857142857,0.12269959404600811
DEL285054,2024-01-10,14:24,Warehouse_PL_Warsaw,The Hague,NL,Client_5,Butter,B,,1129.0,16.2,1487.82,On-Time,0.0,10/01/2024,14:24,14:24:00,False,False,True,False,1129.0,False,1.317821080602303,1487.82,False,2005.0,True,"(600, 1200]",16.2,False,1.317821080602303,0.7420548628428927
DEL939438,2024-05-08,15:35,Warehouse_DE_Hamburg,Groningen,NL,Client_16,Butter,B,1433.0,476.0,,563.39,On-Time,0.0,08/05/2024,15:35,15:35:00,False,False,False,True,476.0,False,1.1835924369747899,563.39,False,1433.0,False,"(300, 600]",5.8,True,1.1835924369747899,0.39315422191207255
DEL666836,2024-04-23,01:08,Warehouse_DE_Hamburg,Brussels,BE,Client_4,SMP,,5904.0,503.0,6.3,487.6,Delayed,6.3,23/04/2024,01:08,01:08:00,False,False,False,False,503.0,False,0.9693836978131213,487.6,False,5904.0,False,"(300, 600]",6.3,False,0.9693836978131213,0.08258807588075881
DEL473281,2024-04-17,08:24,Warehouse_PL_Warsaw,Katowice,PL,Client_26,Cheese,,2450.0,131.0,2.1,122.72,On-Time,0.0,17/04/2024,08:24,08:24:00,False,False,False,False,131.0,False,0.936793893129771,122.72,False,2450.0,False,"(50, 150]",2.1,False,0.936793893129771,0.05008979591836735
DEL678572,2024-01-26,21:07,Warehouse_PL_Warsaw,Munich,DE,Client_12,Butter,B,1162.0,781.0,9.3,986.56,On-Time,0.0,26/01/2024,21:07,21:07:00,False,False,False,False,781.0,False,1.263201024327785,986.56,False,1162.0,False,"(600, 1200]",9.3,False,1.263201024327785,0.8490189328743545
