delivery_id,date,time,origin_warehouse,destination_city,destination_country,client_name,product_type,product_grade,volume_kg,distance_km,delivery_time_hours,transport_cost_eur,delivery_status,delay_hours
DEL526321,17/03/2024,04:24,Warehouse_DE_Hamburg,Berlin,DE,Client_1,SMP,,6497,472,6.5,444.07,On-time,
DEL287677,29/06/2024,19:57,Warehouse_PL_Warsaw,Tilburg,NL,Client_29,Butter,A,1862,1098,14.6,1311.48,On-time,0
DEL407321,05/04/2024,19:26,Warehouse_DE_Hamburg,Lodz,PL,Client_32,Cheese,,1932,899,13.7,3158.455048,On-time,0
DEL541037,23/01/2024,21:46,Warehouse_FR_Paris,Liege,BE,Client_12,Butter,A,1121,314,5,1208.676147,On-time,0
DEL363333,28/03/2024,08:08,Warehouse_FR_Paris,Brussels,BE,Client_7,Cheese,,4900,321,18.41035492,390.96,On-time,0
DEL155015,16/04/2024,,Warehouse_DE_Hamburg,Turin,IT,Client_6,Cheese,,,1287,20.7,1381.7,On-time,0
DEL330030,02/04/2024,17:51,Warehouse_DE_Hamburg,Munich,DE,Client_21,SMP,,2956,434,5.2,362.7,On-time,0
DEL285054,10/01/2024,14:24,Warehouse_PL_Warsaw,The Hague,NL,Client_5,Butter,B,,1129,16.2,1487.82,On-time,0
DEL939438,08/05/2024,15:35,Warehouse_DE_Hamburg,Groningen,NL,Client_16,Butter,B,1433,476,,563.39,On-time,0
DEL666836,23/04/2024,01:08,Warehouse_DE_Hamburg,Brussels,BE,Client_4,SMP,,5904,503,6.3,487.6,Delayed,6.3
DEL473281,17/04/2024,08:24,Warehouse_PL_Warsaw,Katowice,PL,Client_26,Cheese,,2450,131,2.1,122.72,On-time,0
DEL678572,26/01/2024,21:07,Warehouse_PL_Warsaw,Munich,DE,Client_12,Butter,B,1162,781,9.3,986.56,On-time,0
DEL322635,05/04/2024,20:19,Warehouse_DE_Hamburg,Florence,IT,Client_33,Cheese,,2699,1235,15.1,1065.95,On-time,0
DEL930946,14/05/2024,19:41,Warehouse_PL_Warsaw,Rotterdam,NL,Client_23,Cheese,,3231,1134,13,1274.21,On-time,0
DEL707725,19/05/2024,12:23,Warehouse_FR_Paris,Dortmund,DE,Client_33,Butter,A,1029,843,11.9,885.11,Delayed,3.9
DEL975336,14/06/2024,17:09:45,Warehouse_FR_Paris,Dusseldorf,DE,Client_26,Cheese,,3258,705,9.9,698.07,On-time,0
DEL503519,24/05/2024,05:12,Warehouse_FR_Paris,Strasbourg,FR,Client_23,Butter,A,1450,201,2.3,230.69,On-time,0
DEL103876,12/06/2024,07:44,Warehouse_DE_Hamburg,Bydgoszcz,PL,Client_16,Butter,B,1762,725,8.8,945.94,On-time,0
DEL936343,08/06/2024,12:01,Warehouse_FR_Paris,Nijmegen,NL,Client_29,SMP,,,479,7.1,485.61,On-time,0
DEL749076,01-16-2024,11:24,Warehouse_DE_Hamburg,Florence,IT,Client_20,Butter,C,1827,1461,22.2,1632.68,On-time,0
DEL267951,05-20-2024,16:14,Warehouse_FR_Paris,Toulouse,FR,Client_35,Cheese,,2628,393,6.4,359.71,On-time,0
DEL220904,02/06/2024,09:00,Warehouse_FR_Paris,Tilburg,NL,Client_31,SMP,,4611,475,6.9,429.39,On-time,0
DEL658487,14/03/2024,14:56,Warehouse_DE_Hamburg,Krakow,PL,Client_23,SMP,,4082,644,9.8,500.79,On-time,0
DEL326667,23/04/2024,22:03,Warehouse_PL_Warsaw,Milan,IT,Client_7,Butter,A,870,1506,23.1,1630.01,Delayed,2
DEL617986,09/06/2024,04:20,Warehouse_FR_Paris,Bordeaux,FR,Client_9,Butter,A,2329,162,2,192.72,Delayed,11
DEL575754,06/06/2024,12:09,Warehouse_DE_Hamburg,Rotterdam,NL,Client_7,Butter,B,1555,346,4.5,345.66,On-time,0
DEL865833,19/01/2024,05:58,Warehouse_FR_Paris,Strasbourg,FR,Client_19,SMP,,6792,201,,207.69,On-time,0
DEL969099,30/06/2024,00:46,Warehouse_FR_Paris,Antwerp,BE,Client_35,SMP,,2765,263,3.5,196.66,On-time,0
DEL230252,22/06/2024,01:07,Warehouse_FR_Paris,Valencia,ES,Client_21,Cheese,,4014,852,11.4,828.9,Delayed,4.1
DEL308573,09/02/2024,11:48,Warehouse_DE_Hamburg,Liege,BE,Client_34,Cheese,,3951,560,6.5,682.49,On-time,0
DEL343613,13/05/2024,20:21,Warehouse_FR_Paris,The Hague,NL,Client_21,Butter,B,1970,497,5.9,577.41,On-time,0
DEL342389_DUP,26/04/2024,09:16,Warehouse_FR_Paris,Cologne,DE,Client_3,Cheese,,2397,875,11.8,778.01,On-time,0
DEL660933,02-14-2024,17:04:45,Warehouse_FR_Paris,Rome,IT,Client_33,Butter,A,1384,1097,,1226.31,On-time,0
DEL484783,07/01/2024,08:24,Warehouse_DE_Hamburg,Brussels,BE,Client_11,SMP,,7033,425,5.3,432.76,On-time,0
DEL994664,26/03/2024,11:55,Warehouse_FR_Paris,Barcelona,ES,Client_30,Butter,A,2733,879,13.1,967.69,On-time,0
DEL707603,20/01/2024,08:15,Warehouse_PL_Warsaw,Madrid,ES,Client_16,Butter,A,2112,2385,36.1,2752.82,On-time,0
DEL610869,18/04/2024,22:53,Warehouse_FR_Paris,Lille,FR,Client_17,SMP,,6833,167,2.7,151.38,On-time,0
DEL516713,07/05/2024,08:43,Warehouse_PL_Warsaw,Rotterdam,NL,Client_10,SMP,,4718,1036,13.9,948.91,Delayed,7.2
DEL501453,16/02/2024,13:39,Warehouse_FR_Paris,Eindhoven,NL,Client_31,SMP,,4163,426,6.1,301.93,On-time,0
DEL890954,12/01/2024,09:44,Warehouse_PL_Warsaw,Turin,IT,Client_31,Butter,B,960,1582,24.8,1488.64,On-time,0
DEL593927,03-20-2024,00:49,Warehouse_FR_Paris,Dortmund,DE,Client_24,SMP,,4798,624,7.9,483.28,Delayed,2.8
DEL763756,21/01/2024,10:28,Warehouse_DE_Hamburg,Charleroi,BE,Client_25,Butter,C,2438,593,,765.17,Delayed,5.7
DEL894541,01-22-2024,03:47,Warehouse_DE_Hamburg,Nantes,FR,Client_10,Cheese,,3450,877,10.1,860.61,On-time,0
DEL693868,24/05/2024,21:55,Warehouse_DE_Hamburg,Valencia,ES,Client_23,SMP,,2656,1865,30.1,1331.69,On-time,0
DEL733636,04/03/2024,21:36,Warehouse_FR_Paris,Berlin,DE,Client_2,SMP,,5282,662,,632.7,On-time,
DEL831663,02-23-2024,11:55,Warehouse_FR_Paris,Ghent,BE,Client_4,Butter,B,2110,349,4.9,450.1,On-time,
DEL926730,03/01/2024,18:20,Warehouse_DE_Hamburg,Marseille,FR,Client_13,Butter,B,,943,11.1,366.8952778,On-time,0
DEL126723,13/01/2024,,Warehouse_PL_Warsaw,Cologne,DE,Client_18,SMP,,5018,840,11.3,712.5,On-time,0
